screen_name,location,id,source,favorite_count,favorited,lang,hashtags,created_at,text,tags,is_retweet,retweet_author,n_words,has_link,emoji_count,emojis
ONYXCONtruth,ATL & The Universe,446395993,Instagram,0,False,en,"[{'text': 'real', 'indices': [18, 23]}, {'text': 'Artist', 'indices': [24, 31]}, {'text': 'ONYXCON', 'indices': [42, 50]}, {'text': 'popularArts', 'indices': [63, 75]}, {'text': 'Film', 'indices': [76, 81]}, {'text': 'ComicBooks', 'indices': [82, 93]}, {'text': 'Gaming', 'indices': [94, 101]}, {'text': 'HipHop', 'indices': [102, 109]}]",2019-07-04 22:57:55,Salute to all the that make POSSIBLE ️ https://t.co/vFtdbfXvMn,"['real', 'Artist', 'ONYXCON', 'popularArts', 'Film', 'ComicBooks', 'Gaming', 'HipHop']",False,,63,True,1,‼
CassiniFrank,"Vancouver, British Columbia",997922612255703040,Twitter for iPhone,0,False,en,"[{'text': 'UK', 'indices': [47, 50]}, {'text': 'Premiere', 'indices': [51, 60]}, {'text': 'London', 'indices': [64, 71]}, {'text': 'WestEnd', 'indices': [112, 120]}]",2019-07-04 22:57:47,Mighty chuffed to have our at ’s legendary @FrightFest — Aug 24 in the . Join us!,"['UK', 'Premiere', 'London', 'WestEnd', 'Fright']",True,volition_movie,81,False,0,
afriwomencinema,unknown,29717530,Twitter Web Client,0,False,en,"[{'text': 'Senegal', 'indices': [107, 115]}]",2019-07-04 22:57:42,"FROM THE AFRICAN WOMEN IN CINEMA BLOG ARCHIVES Senegalese Women in Cinema, Visual Media and Screen Culture https://t.co/yy3ndA3Gpb",['Senegal'],False,,130,True,0,
afriwomencinema,unknown,29717530,Twitter Web Client,1,False,en,"[{'text': 'Senegal', 'indices': [107, 115]}]",2019-07-04 22:56:54,"FROM THE AFRICAN WOMEN IN CINEMA BLOG ARCHIVES Senegalese Women in Cinema, Visual Media and Screen Culture https://t.co/uHiDN91HxT",['Senegal'],False,,130,True,0,
MissTraders,Worldwide,1062616274365145088,IFTTT,0,False,en,"[{'text': 'MissTraders', 'indices': [0, 12]}, {'text': 'Untold', 'indices': [88, 95]}, {'text': 'Stories', 'indices': [96, 104]}]",2019-07-04 22:56:25,"Alert: Thank you @fabfaridah for taking your time to listen to some of the , a Unique… https://t.co/4R3QUmXZ1c","['MissTraders', 'Untold', 'Stories']",False,,110,True,0,
MaryLSchmidt,Colorado,482334246,Twitter for Android,0,False,en,"[{'text': 'writing', 'indices': [110, 118]}, {'text': 'film', 'indices': [119, 124]}, {'text': 'acting', 'indices': [125, 132]}]",2019-07-04 22:55:27,"It's with words as with sunbeams. The more they're condensed, the deeper they burn. Southey","['writing', 'film', 'acting', 'amwri']",True,noveliciouss,91,False,0,
suggestingmovie,"Los Angeles, CA",1070365303471857664,suggestingmovieweb,0,False,en,"[{'text': 'thearchitect', 'indices': [73, 86]}, {'text': 'action', 'indices': [87, 94]}, {'text': 'drama', 'indices': [95, 101]}]",2019-07-04 22:55:16,Let me suggest you a movie! The Architect (2006) https://t.co/r5UQWy78T7 https://t.co/jv36qJnExU,"['thearchitect', 'action', 'drama']",False,,96,True,0,
jJrbD3fFwBcwB64,unknown,884616549037768704,Twitter Web App,0,False,en,"[{'text': 'actress', 'indices': [48, 56]}, {'text': 'makeup', 'indices': [57, 64]}, {'text': 'hair', 'indices': [65, 70]}, {'text': 'tv', 'indices': [71, 74]}, {'text': 'film', 'indices': [75, 80]}, {'text': 'shoot', 'indices': [81, 87]}, {'text': 'onset', 'indices': [88, 94]}]",2019-07-04 22:55:06,Preparing for the secret shoot https://t.co/KnN0h5mtxy,"['actress', 'makeup', 'hair', 'tv', 'film', 'shoot', 'onset']",True,JosieDavis,55,True,1,🤠
Ewalds6,"Bogotá, D.C., Colombia",42274372,Twitter for Android,0,False,en,"[{'text': 'PDF', 'indices': [80, 84]}, {'text': 'film', 'indices': [85, 90]}, {'text': 'director', 'indices': [91, 100]}, {'text': 'writer', 'indices': [101, 108]}, {'text': 'poet', 'indices': [109, 114]}]",2019-07-04 22:54:50,The Selected Poetry Of Pier Paolo Pasolini: A Bilingual Edition https://t.co/oTiScMWUsB…,"['PDF', 'film', 'director', 'writer', 'poet']",True,dark_shark,88,True,0,
mysageadvice,"Fayetteville, AR",526538689,Twitter for iPhone,0,False,en,"[{'text': 'Film', 'indices': [128, 133]}]",2019-07-04 22:53:09,"“All that is gold does not glitter. Not all those who wander are lost.” – Bilbo Baggins, The Lord of the Rings","['Film', 'Cine']",True,JeanetteJoy,110,False,0,
