Date,Open,High,Low,Close,Adj Close,Volume
1970-08-25,5.390625,5.453125,5.351563,5.437500,0.340982,416000
1970-08-26,5.437500,5.492188,5.429688,5.437500,0.340982,283200
1970-08-27,5.437500,5.515625,5.437500,5.484375,0.343921,160000
1970-08-28,5.484375,5.601563,5.484375,5.523438,0.346371,507200
1970-08-31,5.523438,5.554688,5.421875,5.492188,0.344411,155200
1970-09-01,5.492188,5.492188,5.312500,5.328125,0.334123,1584000
1970-09-02,5.328125,5.328125,5.265625,5.312500,0.333143,172800
1970-09-03,5.312500,5.414063,5.265625,5.312500,0.333143,976000
1970-09-04,5.312500,5.335938,5.281250,5.296875,0.332163,364800
1970-09-08,5.296875,5.328125,5.257813,5.273438,0.330694,209600
1970-09-09,5.273438,5.359375,5.265625,5.359375,0.336083,448000
1970-09-10,5.359375,5.375000,5.265625,5.351563,0.335593,456000
1970-09-11,5.351563,5.406250,5.320313,5.320313,0.333633,123200
1970-09-14,5.320313,5.375000,5.296875,5.335938,0.334613,331200
1970-09-15,5.335938,5.359375,5.289063,5.359375,0.336083,105600
1970-09-16,5.359375,5.406250,5.328125,5.367188,0.336573,368000
1970-09-17,5.367188,5.390625,5.343750,5.375000,0.337063,254400
1970-09-18,5.375000,5.398438,5.351563,5.390625,0.338043,288000
1970-09-21,5.390625,5.484375,5.359375,5.375000,0.337063,177600
1970-09-22,5.375000,5.382813,5.335938,5.359375,0.336083,307200
1970-09-23,5.375000,5.484375,5.375000,5.453125,0.341962,332800
1970-09-24,5.484375,5.679688,5.484375,5.625000,0.352740,304000
1970-09-25,5.625000,5.625000,5.500000,5.507813,0.345391,710400
1970-09-28,5.507813,5.562500,5.484375,5.500000,0.344901,148800
1970-09-29,5.500000,5.500000,5.453125,5.468750,0.342941,316800
1970-09-30,5.468750,5.523438,5.460938,5.523438,0.346371,331200
1970-10-01,5.523438,5.554688,5.421875,5.437500,0.340982,1632000
1970-10-02,5.437500,5.484375,5.421875,5.460938,0.342452,452800
1970-10-05,5.460938,5.546875,5.445313,5.546875,0.347841,432000
1970-10-06,5.546875,5.609375,5.546875,5.601563,0.351270,785600
1970-10-07,5.601563,5.648438,5.570313,5.609375,0.351760,360000
1970-10-08,5.609375,5.640625,5.562500,5.578125,0.349800,355200
1970-10-09,5.578125,5.585938,5.500000,5.500000,0.344901,377600
1970-10-12,5.500000,5.531250,5.445313,5.484375,0.343921,80000
1970-10-13,5.484375,5.484375,5.437500,5.468750,0.342941,144000
1970-10-14,5.468750,5.585938,5.468750,5.562500,0.348821,152000
1970-10-15,5.562500,5.625000,5.539063,5.617188,0.352250,462400
1970-10-16,5.617188,5.617188,5.562500,5.570313,0.349311,105600
1970-10-19,5.570313,5.593750,5.539063,5.578125,0.349800,174400
1970-10-20,5.554688,5.554688,5.500000,5.523438,0.346371,372800
1970-10-21,5.523438,5.585938,5.515625,5.562500,0.348821,593600
1970-10-22,5.562500,5.570313,5.531250,5.570313,0.349311,177600
1970-10-23,5.570313,5.601563,5.539063,5.578125,0.349800,585600
1970-10-26,5.578125,5.609375,5.546875,5.570313,0.349311,105600
1970-10-27,5.570313,5.578125,5.500000,5.523438,0.346371,219200
1970-10-28,5.523438,5.523438,5.421875,5.500000,0.344901,1579200
1970-10-29,5.507813,5.562500,5.507813,5.507813,0.345391,292800
1970-10-30,5.523438,5.562500,5.523438,5.531250,0.346861,187200
1970-11-02,5.531250,5.562500,5.515625,5.546875,0.347841,232000
1970-11-03,5.546875,5.554688,5.515625,5.523438,0.346371,104000
1970-11-04,5.531250,5.593750,5.531250,5.546875,0.347841,315200
1970-11-05,5.562500,5.617188,5.562500,5.578125,0.349800,195200
1970-11-06,5.578125,5.593750,5.539063,5.593750,0.350780,264000
1970-11-09,5.593750,5.656250,5.578125,5.656250,0.354699,350400
1970-11-10,5.656250,5.656250,5.390625,5.453125,0.341962,8934400
1970-11-11,5.453125,5.523438,5.429688,5.429688,0.340492,372800
1970-11-12,5.429688,5.445313,5.375000,5.375000,0.337063,2092800
1970-11-13,5.375000,5.429688,5.351563,5.390625,0.338043,524800
1970-11-16,5.390625,5.398438,5.335938,5.359375,0.337790,150400
1970-11-17,5.359375,5.398438,5.343750,5.343750,0.336805,1513600
1970-11-18,5.343750,5.367188,5.304688,5.359375,0.337790,576000
1970-11-19,5.359375,5.367188,5.328125,5.343750,0.336805,124800
1970-11-20,5.343750,5.390625,5.328125,5.390625,0.339760,366400
1970-11-23,5.390625,5.500000,5.390625,5.492188,0.346161,388800
1970-11-24,5.492188,5.515625,5.453125,5.500000,0.346654,273600
1970-11-25,5.531250,5.625000,5.531250,5.625000,0.354532,278400
1970-11-27,5.625000,5.671875,5.562500,5.671875,0.357486,214400
1970-11-30,5.640625,5.640625,5.601563,5.617188,0.354040,515200
1970-12-01,5.617188,5.648438,5.562500,5.617188,0.354040,427200
1970-12-02,5.617188,5.687500,5.539063,5.679688,0.357979,569600
1970-12-03,5.710938,5.804688,5.710938,5.726563,0.360933,672000
1970-12-04,5.726563,5.812500,5.718750,5.781250,0.364380,312000
1970-12-07,5.781250,5.867188,5.781250,5.867188,0.369797,436800
1970-12-08,5.875000,5.937500,5.875000,5.875000,0.370289,472000
1970-12-09,5.875000,5.921875,5.843750,5.875000,0.370289,404800
1970-12-10,5.875000,5.953125,5.859375,5.945313,0.374721,475200
1970-12-11,5.945313,6.085938,5.937500,6.062500,0.382107,470400
1970-12-14,6.062500,6.078125,6.007813,6.031250,0.380137,267200
1970-12-15,6.031250,6.062500,6.000000,6.031250,0.380137,244800
1970-12-16,6.031250,6.062500,5.992188,6.039063,0.380629,185600
1970-12-17,6.039063,6.054688,6.023438,6.039063,0.380629,110400
1970-12-18,6.039063,6.062500,6.031250,6.062500,0.382107,184000
1970-12-21,6.062500,6.062500,5.937500,5.937500,0.374228,376000
1970-12-22,5.937500,6.000000,5.937500,5.984375,0.377183,348800
1970-12-23,5.984375,6.000000,5.953125,5.953125,0.375213,192000
1970-12-24,5.953125,5.992188,5.921875,5.968750,0.376198,259200
1970-12-28,5.968750,6.000000,5.945313,5.992188,0.377675,110400
1970-12-29,6.007813,6.085938,6.007813,6.085938,0.383584,224000
1970-12-30,6.085938,6.156250,6.085938,6.156250,0.388016,368000
1970-12-31,6.156250,6.187500,6.125000,6.187500,0.389985,160000
1971-01-04,6.140625,6.140625,6.054688,6.054688,0.381614,166400
1971-01-05,6.054688,6.101563,5.945313,6.101563,0.384569,160000
1971-01-06,6.101563,6.140625,6.078125,6.093750,0.384077,129600
1971-01-07,6.093750,6.125000,6.078125,6.078125,0.383091,179200
1971-01-08,6.078125,6.125000,6.039063,6.054688,0.381614,184000
1971-01-11,6.039063,6.039063,5.953125,5.992188,0.377675,278400
1971-01-12,5.992188,6.000000,5.992188,6.000000,0.378168,472000
1971-01-13,6.000000,6.039063,6.000000,6.007813,0.378660,467200
1971-01-14,6.007813,6.015625,5.984375,6.015625,0.379152,979200
1971-01-15,6.015625,6.031250,5.984375,6.023438,0.379645,304000
1971-01-18,6.023438,6.039063,6.000000,6.000000,0.378168,152000
1971-01-19,6.000000,6.023438,5.992188,6.023438,0.379645,196800
1971-01-20,6.023438,6.046875,6.007813,6.031250,0.380137,316800
1971-01-21,6.031250,6.070313,6.023438,6.062500,0.382107,315200
1971-01-22,6.062500,6.125000,6.062500,6.117188,0.385554,323200
1971-01-25,6.117188,6.156250,6.117188,6.156250,0.388016,219200
1971-01-26,6.156250,6.187500,6.132813,6.171875,0.389001,1094400
1971-01-27,6.171875,6.187500,6.085938,6.148438,0.387523,564800
1971-01-28,6.148438,6.179688,6.125000,6.132813,0.386538,329600
1971-01-29,6.148438,6.187500,6.148438,6.187500,0.389985,188800
1971-02-01,6.210938,6.250000,6.210938,6.226563,0.392448,568000
1971-02-02,6.226563,6.242188,6.187500,6.195313,0.390477,416000
1971-02-03,6.195313,6.367188,6.195313,6.367188,0.401311,416000
1971-02-04,6.367188,6.390625,6.273438,6.312500,0.397864,331200
1971-02-05,6.312500,6.328125,6.273438,6.273438,0.395402,480000
1971-02-08,6.273438,6.343750,6.250000,6.343750,0.399834,387200
1971-02-09,6.343750,6.375000,6.320313,6.351563,0.400326,316800
1971-02-10,6.351563,6.375000,6.289063,6.359375,0.400818,484800
1971-02-11,6.359375,6.406250,6.312500,6.406250,0.405619,219200
1971-02-12,6.406250,6.468750,6.398438,6.468750,0.409576,96000
1971-02-16,6.468750,6.515625,6.460938,6.500000,0.411555,217600
1971-02-17,6.500000,6.507813,6.453125,6.492188,0.411060,283200
1971-02-18,6.492188,6.500000,6.437500,6.476563,0.410071,395200
1971-02-19,6.476563,6.492188,6.421875,6.484375,0.410565,182400
1971-02-22,6.453125,6.453125,6.320313,6.343750,0.401661,838400
1971-02-23,6.335938,6.335938,6.273438,6.320313,0.400177,305600
1971-02-24,6.320313,6.359375,6.281250,6.359375,0.402651,216000
1971-02-25,6.359375,6.421875,6.281250,6.406250,0.405619,531200
1971-02-26,6.406250,6.492188,6.375000,6.484375,0.410565,451200
1971-03-01,6.484375,6.500000,6.437500,6.500000,0.411555,294400
1971-03-02,6.500000,6.531250,6.476563,6.531250,0.413533,211200
1971-03-03,6.531250,6.546875,6.484375,6.507813,0.412049,564800
1971-03-04,6.507813,6.554688,6.500000,6.523438,0.413038,206400
1971-03-05,6.523438,6.554688,6.523438,6.546875,0.414522,268800
1971-03-08,6.546875,6.578125,6.523438,6.570313,0.416006,240000
1971-03-09,6.570313,6.671875,6.562500,6.640625,0.420458,334400
1971-03-10,6.656250,6.687500,6.656250,6.687500,0.423426,264000
1971-03-11,6.687500,6.718750,6.656250,6.718750,0.425405,236800
1971-03-12,6.718750,6.796875,6.656250,6.796875,0.430351,212800
1971-03-15,6.796875,7.046875,6.796875,7.046875,0.446180,243200
1971-03-16,7.046875,7.125000,7.015625,7.109375,0.450138,630400
1971-03-17,7.078125,7.078125,7.031250,7.062500,0.447169,313600
1971-03-18,7.062500,7.171875,7.062500,7.140625,0.452116,446400
1971-03-19,7.171875,7.226563,7.171875,7.226563,0.457557,216000
1971-03-22,7.203125,7.203125,7.093750,7.125000,0.451127,161600
1971-03-23,7.125000,7.148438,7.000000,7.015625,0.444202,174400
1971-03-24,6.968750,6.968750,6.867188,6.882813,0.435793,305600
1971-03-25,6.882813,7.000000,6.859375,6.992188,0.442718,286400
1971-03-26,6.992188,7.062500,6.960938,7.000000,0.443212,270400
