title,selected
"A Company Is Hoarding What It Took From Cancer Patients, And That's Not OK",0
"73% Of Americans Want This To Happen But Think They Don't",0
"A Truly Absurd PSA With Zombies Makes No Sense Until You See The End. Then It's Awesome.",0
"Australians Restrict Travel at Olympics",1
"Makers of Paper App Ask Facebook to Change Its New App Name",1
"WATCH: This Is One Time-Lapse Big Oil Doesn't Want You To See",0
"5 Myths About Our Schools That Fall Apart When You Look Closer"0
"The Weeks Mens College Basketball Games to Watch",1
"The Problem Isn't Racial Profiling In Stores. It's Just That People Don't Know How To Shop!",0
"Friends Don't Let Friends Drive Drunk. But They Do Let Them Think They've Been In A 10-Year Coma.",0
"Heres Pete Seeger Doing One Of The Songs He Loved So Much"0
"I Wonder If Anyone That Rich Thinks, 'Yeah, I Need All This Money. All. Of. It.'",0
"Welcome To That One Time When Youre Thrilled That Kids Look Up To A Gang"0
"10 Reasons That Just May Convince Anyone That Science Is Awesome"0
"BowlesSimpsonism",1
"A Dude Dresses Up As Captain America And New Yorkers Cant Even Handle It"0
"Murray Propels Britain to a Rare Win Over the U.S.",1
"A Boyish Style Works Just Fine for the Man With the Leagues Best Defense",1
"How Some Tweets Sparked A Movement That Launched An App That Might Just End Sexism In Advertising"0
"A Kid Came Up To Her In The Hall And Told Her She Saved His Life. He Wasnt The Only One In Tears."0
"WARNING: This Type Of Dancing Can Lead To Severe Empowerment And A Strong Connection With Others"0
"Why Does Europe Always Do Things Better? Washing Machines, Public Transport, And Now  Economies?'",0
"Alvin Ailey to Return to Koch Theater in June",1
"A Boy Was Born Without A Hand. I Couldn't Have Guessed What His Dad Made For Him. Mind: Blown!",0
"The 6-Letter Insult That Certain Parents Stop Using Immediately"0
"Marlins Minor Leaguer Is Suspended",1
"A Famous Actor Asks 6,000 Kids For Help. The Result Is A Different Kind Of Scientific Breakthrough.'",0
"Alive With a New, Old Liver'",1
"I'm So Used To TV Personalities Making Excuses For Offensive Segments That I Didn't Expect This",0
"Law Doesn't End Revolving Door on Capitol Hill ",1
"Corruption Costs European Union 120 Billion Euros a Year, Study Finds'",1
"At Work in Subzero Temperatures",1
"A Straight Reporter Says, 'I'd Be Offended By You If I Were Gay.' This Actor's Response? Epic.",0
"So, You're Telling Me You Don't Like The Way You Think I Have Sex? 'Cause That's All I'm Hearing.",0
"Growing Up, He Was Told That Folks Making His Clothes Were 'Being Taken Care Of.' He Had No Idea.",0
"The Embarrassingly Easy Thing We Could All Do To Make The World A Better Place, Like, Tomorrow'",0
"Head Doctor Says A Rich Kid Isn't Guilty BECAUSE He's Rich. Reporter Says What We're All Thinking.",0
"Read The Witty Suggestion An Advice Columnist Gives To A Homophobic Parent"0
"Heres Some Prison Food That Actually Isnt Also Being Used To Punish Inmates"0
"Only 15 Out Of The 566 Nobel Prize Recipients Have Been Women, And Other Terrible Facts'",0
"Unlikely Allies Seek to Check Power of Activist Hedge Funds ",1
"A Lonely Bet Against Portugal's Debt",1
"Selling One School Building to Pay for Another in a Poorer Area",1
"Ethical Concerns Hit Oscar Races",1
"These Little Girls Are Asking The Most Devastating Question I Can Imagine"0
"Someone Put 2 Examples Of Anti-Science Politics Side-By-Side. The Results Are Damning."0
"Ringing in the Chinese Zodiacs Year of the Horse",1
"Letters to the Editor",1
"So You Can Show The Strangest Thing I've Ever Seen Inside A Woman's Body On TV, But Not A Breast?",0
"New Ads Urge Northerners to Follow the Sun",1
"2 Sentences Repeated Over And Over Get Funnier Every Single Time"0
"What We Think About This Issue And What Is True Are 2 Different Things"0
"Lisa Udelson and Chris Nee",1
"Bernanke Takes Post at Brookings Institution",1
"Pictures of the Day: Australia and Elsewhere",1
"They're Not Rich Or Famous, Heroes Or Victims. Just 2 Really Cool Ladies Doing Their Badass Thing.",0
"'Ugh, Food Stamps Are For Lazy Freeloaders!' Well, Let's Look At The Facts.",0
"Philip Seymour Hoffman Said to Be Found With Syringe",1
"A Store Clerk Pranks Customers, And I Can't Help But Love Him For It",0
"401 Places You Love That Are Still Struggling After The Government Shutdown"0
"The Other Pre-Game Show",1
"Should Sports Betting Be Legal Everywhere?",1
"The Hilarious Beer Commercial No Brewery Wants You To See"0
"The Day After His Dad Dies, He Waits Until The End Of His Show To Tell Us About It. Just Beautiful.'",0
"Weber Caps Late Rally to Lead Predators Over the Devils",1
"These Two Leap to Judgment (Not That You Should, Too)'",1
"This Addiction Has Only Been Around For A Little While, But It's Hurting Our Generation",0
"This Aggressive, Combative, Negative Speech Is Somehow Incredibly Motivational'",0
"Some People Call It 'The Best Anti-Smoking Ad Ever.' After Watching, I Might Be One Of Them.",0
"Times Minute | Making Snow for Sochi",1
"Fill In The Blank: Nice Guys Finish ____. Nope, Not After What You're About To See.",0
"Something Really Insane Just Happened In Congress, And You Probably Haven't Heard A Word About It",0
"His Piano Playing Is Beautiful. Im Glad He Has Somewhere To Play It Now."0
"One Of The Biggest Hell-Yeah Moments In Modern History, Told In 4 Minutes'",0
"British Nuclear Reprocessing Plant Detected Elevated Radiation Levels",1
"Most Americans Are 5 Generations Removed From Something That Used To Be All Around Us"0
"What Warren Buffett And Bill Gates Think Is 'Very Unfair' Might Shock You",0
"You Think His Big Brother Will Fight The Attacker. Then There's A Shockingly Beautiful Twist.",0
"The Governor Is Proud Of His Budget. This Student Wants To Teach Him A Lesson."0
"6 Guys Challenge Decades Of Stereotypes Using Only A Whiteboard And A Marker"0
"Letter From France | How to Visit Some of Paris's Finest Museums but Skip the Crowds ",1
"Some People Talk About Shedding Unwanted Weight In 2014, But Here's What's Infinitely More Important",0
"WATCH: An Alternate-Universe Audition Gets A Little TOO Real For This White Guy"0
"So A Dirty Joke And A Hilarious Muslim Feminist Walk Into A Bar..."0
"Theres A New (Old) Way To Think About Money. Are You Ready For It?"0
"'Wolf's' Writer Avoids His Own Spoiler Alerts",1
"A Crooning Toilet Is Going To Raise Your Standards For What It Means To Be A Potty Mouth"0
"A Senator Said Voter Registration Was 'Confusing.' Watch A 12-Year-Old Clear That Up For Him.",0
"Golden Eyes",1
"True South | New Orleans Dining, High and Low'",1
"1/3 Of Women With Speaking Roles In Movies Are More Likely To Be  Naked?"0
"A Husband Took These Photos Of His Wife And Captured Love And Loss Beautifully"0
"If Your Work Or Home Life Involves Sitting, You Really Should Watch A 3-Minute Clip About ... Well, Sitting!'",0
"Times Minute | Disposing Libya's Weapons",1
"If You Tell This Dude To 'Man Up,' You Better Be Prepared To Learn Why What You Said Is Awful",0
"This Is Cesar Chavez. If You Havent Heard Of Him, Perhaps Its Time You Did.'",0
"Demography and Employment (Wonkish)",1
"Heroin Scheme to Support Terrorism Is Foiled, India Police Say'",1
"It's Not A Ghost Or An Alien. It's Real, And It's Way Scarier.",0
"Look At These Beautiful Women, Then See How Much Photoshop This Fashion Magazine Chose To Use'",0
"Theodore Millon, a Student of Personality, Dies at 85'",1
"Academy President Defends Ruling on Song",1
"Its Like Visually Delicious Stuffing For Your Brain: An Animated Thanksgiving History Lesson"0
"A Little Kid Explains A Solution To Reducing Gun Violence. Makes Sense To Me."0
"Sudan Tells Red Cross to Halt Work ",1
"Ask the Author: Economics and Online Dating",1
"Lady Stereotypes, Right After Your Commercial Break Full Of Female Stereotypes'",0
"These People Need Help. Whatever Your Political Affiliation, I Think You'll Agree We Owe It To Them.",0
"What Some Kids Do Because They're Hungry ... I Have No Words",0
"Hard To Believe The Woman At The End Of This Video Is The Same Woman As At The Beginning"0
"Wow, Here's A Scarily Simple Way To Sabotage Your Life And Everyone's Around You",0
"When I Figured Out What This Girl Is Doing, I Felt Sick To My Stomach'",0
"We May Tell Our Kids That Life Isn't Fair, But We Should Actually Listen To Them Talk About Fairness",0
"Some People Call Violence A Disease. So These People Came Up With A Treatment."0
"You Might Know Him For His Music, But There Is A Lot More To Know. And It Might Surprise You.'",0
"College Basketball: Days Story Lines",1
"Here Is How One Artist Captured The Fragility Of An Abusive Relationship"0
"If You're Living In A Developed Country But You're Not Happy, What Are You Doing Wrong?",0
"Macroeconomic Populism Returns",1
"The Subliminal Message In So Many Animated Kids Movies And Shows Isnt About Violence"0
"The Video That Will Reveal To Your Children What A Marshmallow-Prejudiced Hypocrite You Are"0
"Something Absolutely Terrible Just Happened To The Internet. Here's Why.",0
"Why Youll Be Telling Your Kids About The Days When We Used To Have Electricity"0
"Watch A Celebrity Do 4 Really Stupid Things In Less Than A Minute To Prove A Really Smart Point"0
"Video Notebook: Peyton Manning",1
"Next Time You Check The Tags On A New Shirt, You May Also Want To Check For This'",0
"The One Where A Woman Keeps Repeating A Hurtful Term That's Been Hurled At Her For Her Entire Life",0
"1 Out Of 3 Women Live On The Edge Of Something Terrifying"0
"An Awesome Day at 81",1
"Obama Is Said to Plan Fence-Mending Trip to Saudi Arabia",1
